full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
Atalia Dituding Perpanjang Dinasti Politik karena Akan Maju Jadi Wali Kota Bandung Ridwan Kamil: Istri Saya Punya Hal Ini https://t.co/kymCB3Ca3p,1.74162599595256E+018,2024-01-01 01:02:49+00:00,polhukamid_,1.59288601744679E+018,in,,0,0,0,0,https://x.com/polhukamid_/status/1741625995952562540,,0,polhukamid_,
Tahun Baru. Saya harap ahli politik tanahair dan kerajaan berazam untuk mentadbir negara dengan cekap bertanggungjawab dan penuh amanah. Adakah harapan ini hanya suatu angan-angan?,1.74162789238621E+018,2024-01-01 01:10:22+00:00,dk_derick72,4499610497,in,Kuala Lumpur Federal Territory,0,0,0,2,https://x.com/dk_derick72/status/1741627892386214322,,0,dk_derick72,
Saya cukup ghibah politik. Sudah diurus banyak orang. 2024 bicara tentang buku saja. Buku cetak yang berganti rupa e-book tetap tak banyak menarik minat baca. Maka kepada penerbit yang masih setia pada jalan ninja menerbitkan buku. Terima kasih ,1.74163347529443E+018,2024-01-01 01:32:33+00:00,hsolichin,1360992242,in,Tangerang Selatan,0,0,0,0,https://x.com/hsolichin/status/1741633475294437811,,0,hsolichin,
Buka X skrg udah kaya masuk kelas FISIP ajg isinya politik dan pemerintahan semua. Soalnya bola saya mute,1.74163615963646E+018,2024-01-01 01:43:13+00:00,mudahterbakarr,1.12583358417706E+018,in,West Java,0,1,0,0,https://x.com/mudahterbakarr/status/1741636159636468201,,0,mudahterbakarr,
Saya menjual NASIHAT UNTUK SBY ~ politik ~ hukum ~ pemerintahan. Dapatkan produk ini hanya di Shopee! https://t.co/SwUOWeahnl #ShopeeID #Welcome2024 #Happy2024 #Resolusi2024 #Udah2024 #HappyNewYear #Indonesia #Bakar #Sumedang https://t.co/trlUIpPxbJ,1.74163705303155E+018,2024-01-01 01:46:46+00:00,toko_bn,1.54457204246839E+018,in,Brazil,0,0,0,0,https://x.com/toko_bn/status/1741637053031559300,,0,toko_bn,
Mz mencintai KMG dengan ugal-ugalan: dibelain ngejokes politik agak ngawur ternyata rame walau panik dikit tapi gpp. Menolak tawaran harga lebih tinggi dengan menjual nama blio. 2023 saya tutup dengan kehebohan beneran ‍,1.74164013650765E+018,2024-01-01 01:59:01+00:00,chikinmeokgo,1.36562761393121E+018,in,,0,0,0,0,https://x.com/chikinmeokgo/status/1741640136507654285,,0,chikinmeokgo,
Nanti kat sana tuhan tanya apa perjuangan kamu ketika di dunia boleh lah jawab saya berjuang menDAP kan semua musuh politik saya dengan namamu ya Allah. Gelak je hadi nanti kat sana .. siapa suruh percaya aku? Surah al- Baqarah 166-167 dan Surah Ghafir 47-48.,1.74164241492081E+018,2024-01-01 02:08:04+00:00,acapspawn,1.70350051890207E+018,in,,0,0,0,1,https://x.com/acapspawn/status/1741642414920810977,,0,acapspawn,
Di 2024 ini saya mencoba untuk mute postingan berbau politik.,1.74164764748282E+018,2024-01-01 02:28:52+00:00,thmsky,248756529,in,on the edge of your memory.,0,0,0,0,https://x.com/thmsky/status/1741647647482822842,,0,thmsky,
2024 tahun nya politik maaf banget buat mutualan yang share tentang politik saya mute. Saya sudah cukup baca dari akun yang gak difollow muncul di tl saja. Gaperlu km rt qrt thanks. Sekali lagi maaf aku cuma mau lihat kucing rusak binatang bodoh dan club bola lawakk ,1.74164820008227E+018,2024-01-01 02:31:03+00:00,Premiumboy6,1.61820158376608E+018,in,"Semarang, Jawa Tengah",0,1,0,1,https://x.com/Premiumboy6/status/1741648200082276578,,0,Premiumboy6,
Politik riang gembira yang sebenarnya bukan kompas ini maunya apa? saya laporkan anda ke dewan pers ,1.74165272915051E+018,2024-01-01 02:49:03+00:00,fajrimuf,940824811,in,Pale Blue Dot,0,0,0,0,https://x.com/fajrimuf/status/1741652729150513253,,0,fajrimuf,
terima kasih sudah membuat arah dukungan politik saya berubah https://t.co/clzlo6j9lN,1.74165357160577E+018,2024-01-01 02:52:24+00:00,setengahtank,9.34439949666881E+017,in,,0,0,0,0,https://x.com/setengahtank/status/1741653571605770478,,0,setengahtank,
2023 ada 2 hal besar bagi saya. 16 oktober 2023 - Putusan 90 MK yg akan terus menghantui sampai org2 yang terlibat bisa dikalahkan. 27 Desember 2023 - Natal Nasional yang terang2an dicemari dengan politik praktis. Kedua hal ini cukup bukti untuk keputusan-Nya dieksekusi d 2024.,1.74165813920704E+018,2024-01-01 03:10:33+00:00,hannysetiawan,92409882,in,"Solo, Indonesia",0,0,0,0,https://x.com/hannysetiawan/status/1741658139207045255,,0,hannysetiawan,
politik riang gembira* *) kalau saya yang menang,1.74165843683484E+018,2024-01-01 03:11:44+00:00,ayamdreampop,1.24172461419714E+018,in,,0,0,0,0,https://x.com/ayamdreampop/status/1741658436834849201,,0,ayamdreampop,
#L3bihBaik Mahfud Hebat Happy New Year Melihat Mahfud MD bersama srimulat membuat saya yakin bahwa politik bisa bersahabat.\'a0 ALIJUMAWA GP 4Presiden Ag51klktYw bersih kuatkanKPK Mahfud MD\,1.74166076930801E+018,2024-01-01 03:21:00+00:00,alan02457015,1.19390602612433E+018,in,"Plymouth, England",0,0,0,0,https://x.com/alan02457015/status/1741660769308017137,,0,alan02457015,
selamat hari senin hari pertama di 2024. Puncak tahun politik yang berlangsung 5 tahun sekali. izinkan saya berkampanye atas pilihan saya :D. #PKSJabar Haru Suandharu,1.74166655597141E+018,2024-01-01 03:44:00+00:00,cicadasaja,2277763584,in,,0,1,0,0,https://x.com/cicadasaja/status/1741666555971412290,,0,cicadasaja,
